Período,Serie original,Var. % interanual,Var. % acumulada
ene-19,122,3.6,3.6
feb-19,122.6,4.2,3.9
mar-19,125.9,3.4,3.7
abr-19,123.9,3.7,3.7
may-19,123.6,4.2,3.8
jun-19,120.4,3.5,3.8
jul-19,123,4,3.8
ago-19,122,3.4,3.8
sep-19,120.9,4.7,3.9
oct-19,123.1,4.2,3.9
nov-19,127.2,4.9,4
dic-19,130.6,4.3,4
ene-20,127.1,4.2,4.2
feb-20,125.4,2.3,3.2
mar-20,120.8,-4,0.8
abr-20,112.3,-9.4,-1.8
may-20,111.2,-10.1,-3.4
jun-20,111.3,-7.5,-4.1
jul-20,118.4,-3.7,-4.1
ago-20,120.7,-1.1,-3.7
sep-20,121.7,0.6,-3.2
oct-20,125.5,2,-2.7
nov-20,128.5,1.1,-2.3
dic-20,135.6,3.8,-1.8
ene-21,128.7,1.3,1.3
feb-21,128.4,2.4,1.9
mar-21,132.9,9.9,4.5
abr-21,129.6,15.4,7
may-21,129.6,16.5,8.8
jun-21,127.2,14.2,9.6
jul-21,131.3,10.8,9.8
ago-21,130.1,7.8,9.6
sep-21,128.9,6,9.1
oct-21,131.1,4.4,8.6
nov-21,136.2,6,8.4
dic-21,141.3,4.2,8
ene-22,135,4.9,4.9
feb-22,134.5,4.7,4.8
mar-22,139.1,4.7,4.8
abr-22,135.5,4.6,4.7
may-22,135.7,4.7,4.7
jun-22,132.3,4,4.6
jul-22,135.4,3.1,4.4
ago-22,135.9,4.4,4.4
sep-22,133.9,3.8,4.3
oct-22,135.9,3.7,4.3
nov-22,141,3.5,4.2
dic-22,146.1,3.4,4.1
ene-23,139.3,3.2,3.2
feb-23,140.4,4.4,3.8
mar-23,144.1,3.6,3.7
abr-23,140.1,3.3,3.6
may-23,140.5,3.6,3.6
jun-23,138.5,4.6,3.8
jul-23,141.2,4.3,3.9
ago-23,139.9,3,3.8
sep-23,,,
oct-23,,,
nov-23,,,
dic-23,,,
