Fecha,2019,2020,2021,2022,2023
Enero ,7.73695,7.69884,7.79382,7.71912,7.85222
Febrero ,7.76239,7.66401,7.78003,7.68555,7.84957
Marzo ,7.70445,7.67884,7.70606,7.7044,7.81525
Abril ,7.68031,7.69774,7.71498,7.67947,7.80335
Mayo ,7.65228,7.71244,7.71812,7.66517,7.80826
Junio ,7.7227,7.68962,7.72935,7.69552,7.8366
Julio ,7.70823,7.70421,7.744,7.75608,7.84576
Agosto ,7.67597,7.70871,7.74751,7.72946,7.86466
Septiembre ,7.68091,7.72961,7.7308,7.7408,7.87138
Octubre ,7.73978,7.78375,7.73369,7.88368,7.85833
Noviembre ,7.71001,7.79595,7.73464,7.82857,7.83252
Diciembre ,7.70254,7.81148,7.73219,7.84143,
